timestamp,x (mm),y (mm),z (mm)
1741709791.2392743,-559.6784266949127,-213.02122428689523,173.929951906469
1741709791.250286,-560.8049040269834,-210.05165788246336,173.929951906469
1741709791.2612941,-562.0301189228279,-206.80074293445367,173.929951906469
1741709791.2722132,-563.189380838814,-203.6128598883192,173.92212955304782
1741709791.2832048,-564.2712390896841,-200.6440322536733,173.929951906469
1741709791.294213,-565.3475755640594,-197.60452929931506,173.92212955304782
1741709791.3052719,-566.3812667316868,-194.6099681447934,173.92212955304782
1741709791.316273,-567.5540756669856,-191.22916294354732,173.929951906469
1741709791.3272185,-568.6165544487047,-188.04537892920087,173.93777424908728
1741709791.3382049,-569.6584873474687,-184.9087750039036,173.92212955304782
1741709791.3492122,-570.6716546456778,-181.77181231633008,173.929951906469
1741709791.3602116,-571.6622129493456,-178.67650960433764,173.929951906469
1741709791.3712018,-572.6729519960317,-175.42392126116502,173.93777424908728
1741709791.382224,-573.6766166457578,-172.1616912562078,173.92212955304782
1741709791.3932664,-574.6379096509447,-168.95748236658028,173.92212955304782
1741709791.4042807,-575.608902594006,-165.66541424905887,173.929951906469
1741709791.4152317,-576.4868129531648,-162.60025890666032,173.929951906469
1741709791.426274,-577.4335211175008,-159.25785928808102,173.929951906469
1741709791.437278,-578.3725427996887,-155.84475947097735,173.929951906469
1741709791.4481866,-579.244786569355,-152.60771145770067,173.929951906469
1741709791.4592006,-580.0826572584224,-149.45935146541956,173.929951906469
1741709791.4701931,-580.8639703212791,-146.43046479951863,173.929951906469
1741709791.4813395,-581.6773401802303,-143.16651988398996,173.929951906469
1741709791.4922442,-582.5277299323132,-139.7048435230883,173.92212955304782
1741709791.5032723,-583.3107682884732,-136.49166035916596,173.929951906469
1741709791.5141823,-584.0256528572896,-133.36103230538382,173.929951906469
1741709791.5251908,-584.7455956829274,-130.28778636905759,173.929951906469
1741709791.5362494,-585.4772966485289,-126.92026756685682,173.929951906469
1741709791.5472474,-586.206563505073,-123.54830573951051,173.929951906469
