timestamp,model_name,goal_image,curr_j0,curr_j1,curr_j2,curr_j3,curr_j4,curr_j5,cmd_j0,cmd_j1,cmd_j2,cmd_j3,cmd_j4,cmd_j5,delta_j0,delta_j1,delta_j2,delta_j3,delta_j4,delta_j5
1769212361.044887,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.0668219327926636,-1.6093204021453857,-0.8173070549964905,1.07648503780365,0.8052510023117065,1.9387599229812622,-1.1040385961532593,-1.6173064708709717,-0.7995893955230713,1.0707392692565918,0.7877237200737,1.919561505317688,-0.03721671551465988,-0.007986086420714855,0.01771767996251583,-0.0057458127848804,-0.017527306452393532,-0.019198421388864517
1769212361.1456017,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.0735770463943481,-1.6141973733901978,-0.804857075214386,1.0725167989730835,0.7976021766662598,1.9310505390167236,-1.109948754310608,-1.6213358640670776,-0.7886031270027161,1.0662827491760254,0.7798983454704285,1.9126145839691162,-0.03637176379561424,-0.007138512097299099,0.01625397428870201,-0.0062341028824448586,-0.017703833058476448,-0.01843591034412384
1769212361.244232,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.0829675197601318,-1.6189532279968262,-0.7954059839248657,1.0674883127212524,0.7898930311203003,1.9235533475875854,-1.118452548980713,-1.6252877712249756,-0.780652642250061,1.060535192489624,0.7717685103416443,1.9058674573898315,-0.03548505902290344,-0.00633459584787488,0.014753315597772598,-0.006953109987080097,-0.018124492838978767,-0.017685899510979652
1769212361.345054,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.0873901844024658,-1.6230729818344116,-0.7860760688781738,1.0634292364120483,0.7818958759307861,1.9158289432525635,-1.1231420040130615,-1.6287044286727905,-0.7728187441825867,1.0552672147750854,0.763356626033783,1.899336576461792,-0.03575178608298302,-0.005631451494991779,0.013257348909974098,-0.008161969482898712,-0.018539272248744965,-0.01649239845573902
1769212361.4465227,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.093448519706726,-1.6273441314697266,-0.7770491242408752,1.0574617385864258,0.7741561532020569,1.9089374542236328,-1.1308345794677734,-1.6321250200271606,-0.7650820016860962,1.048328161239624,0.755980372428894,1.893961787223816,-0.037386078387498856,-0.004780929535627365,0.011967135593295097,-0.009133551269769669,-0.0181757602840662,-0.014975715428590775
1769212361.5458763,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.0992646217346191,-1.6308882236480713,-0.7693246603012085,1.052190899848938,0.7667801380157471,1.903015375137329,-1.138734221458435,-1.634660005569458,-0.7579907178878784,1.041824460029602,0.7495917677879333,1.8897255659103394,-0.0394696444272995,-0.003771736053749919,0.01133391447365284,-0.010366475209593773,-0.01718835160136223,-0.013289768248796463
1769212361.6454253,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.1046868562698364,-1.634129524230957,-0.761751651763916,1.0455267429351807,0.7589647173881531,1.896593451499939,-1.1456003189086914,-1.6370453834533691,-0.7505547404289246,1.0339282751083374,0.7429892420768738,1.8843694925308228,-0.0409134179353714,-0.0029158054385334253,0.011196911334991455,-0.011598516255617142,-0.01597546972334385,-0.012224001809954643
1769212361.74559,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.1112298965454102,-1.6370980739593506,-0.7544209361076355,1.038438320159912,0.7526490092277527,1.8916407823562622,-1.152319073677063,-1.6392784118652344,-0.743186354637146,1.0259549617767334,0.7371580600738525,1.8799439668655396,-0.04108918458223343,-0.0021803071722388268,0.011234605684876442,-0.012483356520533562,-0.015490974299609661,-0.011696789413690567
1769212361.8504076,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.1181970834732056,-1.6396729946136475,-0.7469388842582703,1.0306836366653442,0.7471054792404175,1.8875209093093872,-1.1583091020584106,-1.641040563583374,-0.7355751991271973,1.0184118747711182,0.7314414381980896,1.8762576580047607,-0.04011205956339836,-0.0013675768859684467,0.011363696306943893,-0.012271788902580738,-0.01566401496529579,-0.011263245716691017
1769212361.9498494,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.1253156661987305,-1.642005443572998,-0.7397596836090088,1.0232924222946167,0.7409108281135559,1.8824472427368164,-1.1643999814987183,-1.642852783203125,-0.728269100189209,1.0121625661849976,0.7250092625617981,1.8717724084854126,-0.039084292948246,-0.0008473689667880535,0.011490555480122566,-0.011129842139780521,-0.01590156741440296,-0.010674785822629929
