time,j0,j1,j2,j3,j4,j5,x,y,z
2.4168,0.74494,-1.27596,-1.73718,1.48515,-0.51054,3.78059,-0.24091,0.23049,0.02528
2.5144,0.73882,-1.27476,-1.73334,1.48525,-0.51149,3.77329,-0.24071,0.23323,0.02589
2.6191,0.73113,-1.27346,-1.72870,1.48487,-0.51179,3.76808,-0.24030,0.23661,0.02655
2.7166,0.72441,-1.27338,-1.72456,1.48131,-0.51217,3.76191,-0.23968,0.23932,0.02679
2.8144,0.71688,-1.27277,-1.72212,1.47835,-0.51275,3.75888,-0.23855,0.24186,0.02712
2.9147,0.71169,-1.27245,-1.71827,1.47706,-0.51417,3.75327,-0.23829,0.24418,0.02746
3.0160,0.70476,-1.27152,-1.71307,1.47611,-0.51547,3.74890,-0.23802,0.24743,0.02809
3.1127,0.69959,-1.27166,-1.70882,1.47544,-0.51563,3.74375,-0.23771,0.24981,0.02829
3.2157,0.69313,-1.27177,-1.70443,1.47406,-0.51618,3.74022,-0.23710,0.25252,0.02851
3.3177,0.68703,-1.27374,-1.69951,1.47153,-0.51717,3.73422,-0.23633,0.25487,0.02813
3.4179,0.67764,-1.27397,-1.69272,1.46789,-0.51805,3.73108,-0.23542,0.25889,0.02847
3.5165,0.67164,-1.27356,-1.68936,1.46526,-0.51945,3.72303,-0.23470,0.26127,0.02885
3.6161,0.66682,-1.27273,-1.68404,1.46070,-0.52025,3.71794,-0.23473,0.26402,0.02948
3.7130,0.65801,-1.27274,-1.68068,1.45856,-0.51929,3.71211,-0.23310,0.26705,0.02968
3.8143,0.65362,-1.27282,-1.67620,1.45479,-0.52022,3.70775,-0.23287,0.26927,0.02996
3.9181,0.64671,-1.27342,-1.67212,1.45102,-0.52126,3.70265,-0.23178,0.27184,0.03003
4.0251,0.64033,-1.27475,-1.66811,1.44731,-0.52261,3.69925,-0.23067,0.27410,0.02985
4.1250,0.63266,-1.27649,-1.66135,1.44519,-0.52328,3.69179,-0.22972,0.27741,0.02972
4.2247,0.62675,-1.27730,-1.65773,1.44280,-0.52424,3.68545,-0.22871,0.27958,0.02970
4.3248,0.62359,-1.27867,-1.65205,1.44174,-0.52717,3.67624,-0.22887,0.28158,0.02968
4.4244,0.61435,-1.27914,-1.64837,1.43782,-0.52738,3.67116,-0.22690,0.28460,0.02978
4.5236,0.61122,-1.28061,-1.64450,1.43474,-0.53038,3.66434,-0.22661,0.28600,0.02959
4.6250,0.60526,-1.28174,-1.64136,1.43071,-0.53209,3.65822,-0.22536,0.28791,0.02943
4.7234,0.59849,-1.28349,-1.63634,1.42790,-0.53451,3.65235,-0.22418,0.29042,0.02922
4.8263,0.59195,-1.28502,-1.63078,1.42461,-0.53647,3.64493,-0.22317,0.29310,0.02912
4.9219,0.58817,-1.28601,-1.62726,1.42210,-0.54124,3.63790,-0.22269,0.29459,0.02913
5.0139,0.58395,-1.28769,-1.62220,1.41870,-0.54222,3.63332,-0.22218,0.29659,0.02892
5.1148,0.57863,-1.28875,-1.61877,1.41427,-0.54531,3.62814,-0.22113,0.29840,0.02885
5.2120,0.57353,-1.29131,-1.61345,1.40891,-0.54752,3.62292,-0.22023,0.30039,0.02836
5.3109,0.56524,-1.29236,-1.60866,1.40531,-0.55081,3.61666,-0.21854,0.30327,0.02842
5.4117,0.56382,-1.29488,-1.60397,1.40195,-0.55333,3.61081,-0.21865,0.30430,0.02792
5.5105,0.55744,-1.29570,-1.59969,1.39677,-0.55575,3.60415,-0.21738,0.30665,0.02800
5.6171,0.55443,-1.29649,-1.59626,1.39265,-0.55736,3.59880,-0.21697,0.30805,0.02801
5.7132,0.55005,-1.29781,-1.59201,1.38620,-0.56022,3.59390,-0.21620,0.30980,0.02791
5.8121,0.54006,-1.29931,-1.58473,1.38300,-0.56308,3.58880,-0.21425,0.31370,0.02803
5.9123,0.53334,-1.29979,-1.57906,1.37933,-0.56901,3.58146,-0.21320,0.31655,0.02847
6.0108,0.53038,-1.30114,-1.57290,1.37858,-0.57575,3.57273,-0.21334,0.31855,0.02866
6.1101,0.52162,-1.30120,-1.56812,1.37549,-0.57904,3.56831,-0.21142,0.32173,0.02914
6.2178,0.51974,-1.30218,-1.56314,1.37177,-0.58367,3.56350,-0.21162,0.32324,0.02931
6.3122,0.51432,-1.30320,-1.55869,1.36610,-0.58631,3.56001,-0.21049,0.32535,0.02937
6.4104,0.50949,-1.30552,-1.55409,1.36186,-0.59037,3.55504,-0.20943,0.32705,0.02898
6.5125,0.50014,-1.30738,-1.54626,1.35775,-0.59592,3.54922,-0.20753,0.33076,0.02912
6.6193,0.49512,-1.30822,-1.54114,1.35531,-0.60182,3.54160,-0.20672,0.33298,0.02942
6.7146,0.49127,-1.31015,-1.53395,1.35220,-0.61033,3.53458,-0.20654,0.33526,0.02956
6.8154,0.48365,-1.31073,-1.52992,1.34870,-0.61461,3.52922,-0.20462,0.33776,0.02981
6.9112,0.47970,-1.31451,-1.52223,1.34336,-0.62139,3.52232,-0.20413,0.33976,0.02923
7.0130,0.47131,-1.31585,-1.51734,1.34088,-0.62650,3.51701,-0.20197,0.34248,0.02932
7.1114,0.46885,-1.31884,-1.50990,1.33812,-0.63306,3.50946,-0.20205,0.34434,0.02905
7.2113,0.46127,-1.32012,-1.50389,1.33602,-0.63793,3.50259,-0.20030,0.34726,0.02928
7.3132,0.45443,-1.32162,-1.49678,1.33351,-0.64483,3.49370,-0.19896,0.35026,0.02960
7.4133,0.45154,-1.32471,-1.49207,1.33130,-0.64924,3.48763,-0.19836,0.35138,0.02896
7.5120,0.44459,-1.32626,-1.48580,1.33040,-0.65458,3.48149,-0.19678,0.35418,0.02915
7.6120,0.44079,-1.32948,-1.47904,1.32945,-0.66037,3.47454,-0.19618,0.35608,0.02874
7.7114,0.43511,-1.32977,-1.47391,1.32830,-0.66594,3.46890,-0.19498,0.35856,0.02932
7.8116,0.43274,-1.33192,-1.46973,1.32695,-0.67074,3.46153,-0.19459,0.35964,0.02903
7.9111,0.42885,-1.33251,-1.46594,1.32453,-0.67524,3.45591,-0.19373,0.36127,0.02931
8.0123,0.42555,-1.33350,-1.46327,1.32409,-0.67862,3.45019,-0.19288,0.36240,0.02930
8.1126,0.42182,-1.33357,-1.46011,1.32366,-0.68380,3.44494,-0.19208,0.36395,0.02976
8.2157,0.41704,-1.33404,-1.45834,1.32364,-0.68867,3.43866,-0.19064,0.36517,0.02988
8.3204,0.41347,-1.33420,-1.45528,1.32301,-0.69241,3.43385,-0.18982,0.36666,0.03027
8.4121,0.40800,-1.33433,-1.45357,1.32224,-0.69716,3.42753,-0.18813,0.36806,0.03052
8.5117,0.40386,-1.33414,-1.45074,1.32012,-0.70112,3.42054,-0.18706,0.36963,0.03102
8.6116,0.40000,-1.33375,-1.45016,1.31618,-0.70329,3.41551,-0.18574,0.37049,0.03126
8.7116,0.39599,-1.33318,-1.44950,1.31315,-0.70765,3.40983,-0.18445,0.37140,0.03165
8.8128,0.39318,-1.33309,-1.44992,1.31007,-0.71164,3.40496,-0.18340,0.37163,0.03170
8.9133,0.39118,-1.33288,-1.45014,1.30999,-0.71564,3.39876,-0.18274,0.37187,0.03185
9.0139,0.38913,-1.33375,-1.44994,1.30713,-0.71773,3.39444,-0.18191,0.37196,0.03154
9.1122,0.38729,-1.33451,-1.44908,1.30497,-0.72180,3.38667,-0.18131,0.37222,0.03140
9.2104,0.38636,-1.33613,-1.44864,1.30246,-0.72371,3.38253,-0.18085,0.37201,0.03081
9.3109,0.38521,-1.33694,-1.44815,1.29997,-0.72695,3.37586,-0.18044,0.37202,0.03059
9.4106,0.38433,-1.33873,-1.44702,1.29610,-0.72902,3.37285,-0.18005,0.37195,0.03000
9.5118,0.38348,-1.33906,-1.44681,1.29171,-0.73087,3.36891,-0.17969,0.37194,0.02989
9.6115,0.38320,-1.34006,-1.44735,1.28675,-0.73189,3.36766,-0.17935,0.37142,0.02939
9.7123,0.38251,-1.34019,-1.44727,1.28283,-0.73316,3.36411,-0.17905,0.37142,0.02934
9.8125,0.38170,-1.34059,-1.44761,1.27899,-0.73526,3.36048,-0.17864,0.37121,0.02915
9.9117,0.38137,-1.34079,-1.44770,1.27539,-0.73755,3.35604,-0.17847,0.37105,0.02907
10.0118,0.38066,-1.34112,-1.44794,1.27146,-0.74048,3.35015,-0.17814,0.37085,0.02894
10.1129,0.38042,-1.34188,-1.44758,1.26634,-0.74460,3.34520,-0.17801,0.37059,0.02872
10.2108,0.38032,-1.34146,-1.44836,1.26097,-0.74748,3.34127,-0.17788,0.37027,0.02882
10.3100,0.38110,-1.34189,-1.44857,1.25678,-0.75019,3.33730,-0.17808,0.36978,0.02864
10.4120,0.38051,-1.34333,-1.44911,1.25329,-0.75089,3.33376,-0.17760,0.36925,0.02798
10.5158,0.37919,-1.34498,-1.44905,1.24841,-0.75297,3.32890,-0.17690,0.36891,0.02731
10.6159,0.37827,-1.34679,-1.44995,1.24237,-0.75409,3.32629,-0.17617,0.36815,0.02644
10.7116,0.37797,-1.34790,-1.44983,1.23665,-0.75703,3.32160,-0.17591,0.36775,0.02602
10.8117,0.37761,-1.34946,-1.45069,1.23024,-0.75889,3.31762,-0.17542,0.36694,0.02527
10.9104,0.37681,-1.35093,-1.45103,1.22574,-0.76078,3.31307,-0.17489,0.36643,0.02464
11.0095,0.37575,-1.35231,-1.45139,1.22214,-0.76343,3.30962,-0.17429,0.36599,0.02408
11.1110,0.37514,-1.35377,-1.45125,1.21879,-0.76722,3.30579,-0.17395,0.36557,0.02357
11.2115,0.37397,-1.35535,-1.45048,1.21519,-0.76943,3.30255,-0.17343,0.36547,0.02303
11.3130,0.37193,-1.35671,-1.44984,1.21173,-0.77193,3.29908,-0.17260,0.36552,0.02258
11.4109,0.37085,-1.35861,-1.45014,1.20883,-0.77348,3.29695,-0.17195,0.36500,0.02180
11.5102,0.37037,-1.35995,-1.45055,1.20613,-0.77621,3.29428,-0.17158,0.36446,0.02126
11.6111,0.37053,-1.36154,-1.45127,1.20147,-0.77680,3.29241,-0.17130,0.36366,0.02051
11.7113,0.37070,-1.36253,-1.45164,1.19722,-0.77923,3.28909,-0.17118,0.36308,0.02010
11.8106,0.37140,-1.36468,-1.45235,1.19238,-0.77944,3.28670,-0.17103,0.36205,0.01913
11.9110,0.37217,-1.36596,-1.45244,1.18992,-0.78251,3.28376,-0.17117,0.36140,0.01866
12.0141,0.37225,-1.36798,-1.45236,1.18829,-0.78174,3.28362,-0.17095,0.36086,0.01783
12.1135,0.37251,-1.36941,-1.45298,1.18609,-0.78275,3.28216,-0.17079,0.36015,0.01720
12.2150,0.37309,-1.37199,-1.45318,1.18446,-0.78186,3.28081,-0.17064,0.35928,0.01612
12.3109,0.37401,-1.37506,-1.45231,1.18252,-0.78124,3.28038,-0.17071,0.35855,0.01496
12.4104,0.37460,-1.37783,-1.45155,1.17975,-0.77973,3.28019,-0.17064,0.35793,0.01388
12.5106,0.37486,-1.38128,-1.45111,1.17591,-0.77988,3.27984,-0.17034,0.35700,0.01253
12.6124,0.37366,-1.38342,-1.45139,1.17211,-0.78053,3.27845,-0.16958,0.35643,0.01164
12.7109,0.37229,-1.38527,-1.45156,1.16826,-0.78158,3.27708,-0.16881,0.35598,0.01089
12.8106,0.37135,-1.38685,-1.45165,1.16404,-0.78147,3.27575,-0.16820,0.35559,0.01022
12.9111,0.37066,-1.38778,-1.45108,1.16121,-0.78230,3.27470,-0.16788,0.35556,0.00992
13.0130,0.37036,-1.38902,-1.44994,1.15838,-0.78296,3.27367,-0.16774,0.35556,0.00953
13.1116,0.36946,-1.38964,-1.44855,1.15553,-0.78560,3.27112,-0.16752,0.35586,0.00947
13.2120,0.36816,-1.39022,-1.44730,1.15254,-0.78654,3.26872,-0.16711,0.35624,0.00936
13.3123,0.36803,-1.39066,-1.44640,1.14874,-0.78605,3.26782,-0.16704,0.35637,0.00923
13.4117,0.36839,-1.39210,-1.44555,1.14520,-0.78484,3.26687,-0.16703,0.35615,0.00869
13.5115,0.36883,-1.39322,-1.44453,1.14262,-0.78396,3.26533,-0.16712,0.35608,0.00831
13.6132,0.36862,-1.39311,-1.44221,1.14207,-0.78288,3.26443,-0.16732,0.35692,0.00854
13.7123,0.36794,-1.39347,-1.43889,1.14186,-0.78157,3.26368,-0.16743,0.35806,0.00869
13.8139,0.36698,-1.39341,-1.43558,1.14169,-0.77934,3.26413,-0.16747,0.35939,0.00899
13.9128,0.36670,-1.39411,-1.43268,1.14040,-0.77838,3.26362,-0.16761,0.36020,0.00897
14.0105,0.36608,-1.39411,-1.43006,1.13913,-0.77735,3.26290,-0.16767,0.36117,0.00921
14.1104,0.36505,-1.39410,-1.42837,1.13680,-0.77887,3.26125,-0.16750,0.36180,0.00940
14.2124,0.36445,-1.39417,-1.42684,1.13342,-0.77803,3.26006,-0.16738,0.36235,0.00948
14.3114,0.36379,-1.39389,-1.42565,1.13138,-0.77902,3.25815,-0.16729,0.36285,0.00972
14.4107,0.36334,-1.39418,-1.42377,1.12955,-0.77845,3.25720,-0.16728,0.36345,0.00977
14.5127,0.36362,-1.39413,-1.42243,1.12776,-0.77745,3.25605,-0.16750,0.36385,0.00989
14.6118,0.36418,-1.39463,-1.42202,1.12515,-0.77569,3.25653,-0.16761,0.36375,0.00967
