time,j0,j1,j2,j3,j4,j5,x,y,z
11.3095,-0.45290,-1.39931,-0.26419,-0.57763,-0.81168,3.37435,0.30225,0.58233,0.29920
11.4122,-0.45613,-1.40317,-0.25709,-0.58037,-0.81497,3.36934,0.30436,0.58155,0.29920
11.5122,-0.46250,-1.40480,-0.25109,-0.58191,-0.81836,3.36423,0.30824,0.57976,0.30025
11.6130,-0.46590,-1.40959,-0.24123,-0.58321,-0.82292,3.35784,0.31048,0.57899,0.30059
11.7105,-0.47133,-1.41150,-0.23486,-0.58481,-0.82496,3.35284,0.31380,0.57750,0.30162
11.8099,-0.47204,-1.41586,-0.22864,-0.58599,-0.82655,3.34867,0.31438,0.57747,0.30098
11.9102,-0.47670,-1.41781,-0.22271,-0.58820,-0.83127,3.34395,0.31725,0.57607,0.30178
12.0108,-0.48199,-1.42186,-0.21106,-0.58827,-0.83484,3.33859,0.32056,0.57475,0.30324
12.1108,-0.48467,-1.42364,-0.20528,-0.58917,-0.83850,3.33382,0.32224,0.57398,0.30410
12.2118,-0.48784,-1.42714,-0.19807,-0.58938,-0.84336,3.32760,0.32421,0.57307,0.30430
12.3133,-0.49025,-1.43027,-0.19128,-0.59095,-0.84826,3.32186,0.32576,0.57235,0.30462
12.4120,-0.49432,-1.43307,-0.18223,-0.59183,-0.85254,3.31696,0.32828,0.57120,0.30596
12.5119,-0.49743,-1.43544,-0.17607,-0.59230,-0.85665,3.31053,0.33018,0.57024,0.30655
12.6111,-0.50068,-1.43810,-0.17093,-0.59321,-0.86033,3.30565,0.33215,0.56920,0.30659
12.7127,-0.50532,-1.44127,-0.16029,-0.59346,-0.86522,3.29809,0.33498,0.56784,0.30825
12.8111,-0.51059,-1.44391,-0.15354,-0.59391,-0.87028,3.29154,0.33809,0.56610,0.30885
12.9107,-0.51360,-1.44666,-0.14678,-0.59367,-0.87434,3.28393,0.33990,0.56515,0.30939
13.0137,-0.51852,-1.44808,-0.14197,-0.59459,-0.88059,3.27688,0.34276,0.56337,0.31007
13.1160,-0.52140,-1.45140,-0.13317,-0.59600,-0.88607,3.27015,0.34455,0.56243,0.31097
13.2145,-0.52583,-1.45300,-0.12799,-0.59762,-0.89280,3.26306,0.34713,0.56078,0.31167
13.3122,-0.52743,-1.45648,-0.12174,-0.59906,-0.89756,3.25781,0.34815,0.56021,0.31156
13.4100,-0.53340,-1.45815,-0.11631,-0.60169,-0.90316,3.25163,0.35161,0.55802,0.31235
13.5100,-0.53742,-1.46171,-0.10787,-0.60185,-0.90868,3.24363,0.35396,0.55662,0.31294
13.6116,-0.54182,-1.46343,-0.10376,-0.60482,-0.91267,3.23791,0.35652,0.55497,0.31326
13.7104,-0.54522,-1.46724,-0.09704,-0.60537,-0.91851,3.23119,0.35850,0.55370,0.31306
13.8118,-0.55034,-1.47042,-0.09087,-0.60599,-0.92562,3.22336,0.36140,0.55173,0.31305
13.9126,-0.55211,-1.47287,-0.08597,-0.60448,-0.93393,3.21505,0.36236,0.55092,0.31299
14.0123,-0.55520,-1.47553,-0.07982,-0.60557,-0.94101,3.20714,0.36413,0.54966,0.31333
14.1112,-0.55924,-1.47770,-0.07388,-0.60721,-0.94691,3.20062,0.36643,0.54806,0.31395
14.2108,-0.56095,-1.48185,-0.06978,-0.60980,-0.94935,3.19724,0.36747,0.54740,0.31269
14.3097,-0.56322,-1.48711,-0.06611,-0.61251,-0.95443,3.19164,0.36880,0.54642,0.31050
14.4094,-0.56319,-1.49182,-0.06266,-0.61574,-0.95888,3.18717,0.36887,0.54629,0.30861
14.5098,-0.56582,-1.49586,-0.05926,-0.61856,-0.96335,3.18273,0.37039,0.54518,0.30713
14.6124,-0.56632,-1.50042,-0.05497,-0.62105,-0.96941,3.17814,0.37073,0.54481,0.30560
